HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Ipswich Town	Brighton & Hove Albion	0	2	A
Man United	Southampton	3	1	H
Everton	Aston Villa	0	1	A
Leicester	Crystal Palace	0	2	A
Newcastle	Wolves	3	0	H
Arsenal	Tottenham	2	1	H
Brentford	Man City	2	2	D
Chelsea	Bournemouth	2	2	D
West Ham	Fulham	3	2	H
Nott'm Forest	Liverpool	1	1	D
Wolves	Nott'm Forest	0	3	A
Fulham	Ipswich	2	2	D
Liverpool	Man United	2	2	D
Tottenham	Newcastle	1	2	A
Aston Villa	Leicester	2	1	H
Bournemouth	Everton	1	0	H
Crystal Palace	Chelsea	1	1	D
Man City	West Ham	4	1	H
Southampton	Brentford	0	5	A
Brighton	Arsenal	1	1	D
Brentford	Arsenal	1	3	A
Aston Villa	Brighton	2	2	D
Ipswich	Chelsea	2	0	H
Man United	Newcastle	0	2	A
Leicester	Man City	0	2	A
Crystal Palace	Southampton	2	1	H
Everton	Nott'm Forest	0	2	A
Fulham	Bournemouth	2	2	D
Tottenham	Wolves	2	2	D
West Ham	Liverpool	0	5	A
Brighton & Hove Albion	Brentford	0	0	D
Arsenal	Ipswich Town	1	0	H
Man City	Everton	1	1	D
Bournemouth	Crystal Palace	0	0	D
Chelsea	Fulham	1	2	A
Newcastle	Aston Villa	3	0	H
Nott'm Forest	Tottenham	1	0	H
Southampton	West Ham	0	1	A
Wolves	Man United	2	0	H
Liverpool	Leicester	3	1	H
Everton	Chelsea	0	0	D
Fulham	Southampton	0	0	D
Leicester	Wolves	0	3	A
Man United	Bournemouth	0	3	A
Tottenham	Liverpool	3	6	A
Aston Villa	Man City	2	1	H
Brentford	Nott'm Forest	0	2	A
Ipswich	Newcastle	0	4	A
West Ham	Brighton	1	1	D
Crystal Palace	Arsenal	1	5	A
Bournemouth	West Ham	1	1	D
Chelsea	Brentford	2	1	H
Brighton	Crystal Palace	1	3	A
Man City	Man United	1	2	A
Southampton	Tottenham	0	5	A
Arsenal	Everton	0	0	D
Nott'm Forest	Aston Villa	2	1	H
Newcastle	Leicester	4	0	H
Liverpool	Fulham	2	2	D
Wolves	Ipswich	1	2	A
West Ham	Wolves	2	1	H
Fulham	Arsenal	1	1	D
Leicester	Brighton	2	2	D
Ipswich	Bournemouth	1	2	A
Tottenham	Chelsea	3	4	A
Man United	Nott'm Forest	2	3	A
Crystal Palace	Man City	2	2	D
Aston Villa	Southampton	1	0	H
Brentford	Newcastle	4	2	H
Bournemouth	Tottenham	1	0	H
Fulham	Brighton	3	1	H
Man City	Nott'm Forest	3	0	H
Everton	Wolves	4	0	H
Aston Villa	Brentford	3	1	H
Arsenal	Man United	2	0	H
Southampton	Chelsea	1	5	A
Newcastle	Liverpool	3	3	D
Leicester	West Ham	3	1	H
Ipswich	Crystal Palace	0	1	A
Liverpool	Man City	2	0	H
Chelsea	Aston Villa	3	0	H
Man United	Everton	4	0	H
Tottenham	Fulham	1	1	D
Brentford	Leicester	4	1	H
Nott'm Forest	Ipswich	1	0	H
West Ham	Arsenal	2	5	A
Crystal Palace	Newcastle	1	1	D
Wolves	Bournemouth	2	4	A
Brighton	Southampton	1	1	D
Newcastle	West Ham	0	2	A
Ipswich	Man United	1	1	D
Southampton	Liverpool	2	3	A
Fulham	Wolves	1	4	A
Bournemouth	Brighton	1	2	A
Everton	Brentford	0	0	D
Man City	Tottenham	0	4	A
Leicester	Chelsea	1	2	A
Arsenal	Nott'm Forest	3	0	H
Aston Villa	Crystal Palace	2	2	D
Nott'm Forest	Newcastle	1	3	A
Tottenham	Ipswich	1	2	A
Chelsea	Arsenal	1	1	D
Man United	Leicester	3	0	H
West Ham	Everton	0	0	D
Liverpool	Aston Villa	2	0	H
Brentford	Bournemouth	3	2	H
Crystal Palace	Fulham	0	2	A
Wolves	Southampton	2	0	H
Brighton	Man City	2	1	H
Fulham	Brentford	2	1	H
Man United	Chelsea	1	1	D
Tottenham	Aston Villa	4	1	H
Ipswich	Leicester	1	1	D
Liverpool	Brighton	2	1	H
Southampton	Everton	1	0	H
Wolves	Crystal Palace	2	2	D
Nott'm Forest	West Ham	3	0	H
Newcastle	Arsenal	1	0	H
Bournemouth	Man City	2	1	H
Arsenal	Liverpool	2	2	D
Chelsea	Newcastle	2	1	H
West Ham	Man United	2	1	H
Crystal Palace	Tottenham	1	0	H
Man City	Southampton	1	0	H
Brighton	Wolves	2	2	D
Everton	Fulham	1	1	D
Brentford	Ipswich	4	3	H
Aston Villa	Bournemouth	1	1	D
Leicester	Nott'm Forest	1	3	A
Nott'm Forest	Crystal Palace	1	0	H
Wolves	Man City	1	2	A
Liverpool	Chelsea	2	1	H
Bournemouth	Arsenal	2	0	H
Man United	Brentford	2	1	H
Southampton	Leicester	2	3	A
Fulham	Aston Villa	1	3	A
Ipswich	Everton	0	2	A
Newcastle	Brighton	0	1	A
Tottenham	West Ham	4	1	H
Aston Villa	Man United	0	0	D
Chelsea	Nott'm Forest	1	1	D
Brighton	Tottenham	3	2	H
Everton	Newcastle	0	0	D
Arsenal	Southampton	3	1	H
West Ham	Ipswich	4	1	H
